city,name,amenity,shop
Tanta,فتح الله جملة ماركت,,supermarket
Tanta,Carrefour,,supermarket
Tanta,Unknown,,clothes
Tanta,موديلز,,clothes
Tanta,عم طلاح,restaurant,
Tanta,Unknown,cafe,
Tanta,Hamodi Store,,clothes
Tanta,صيدلية الدكتورة آية راضى,pharmacy,
Tanta,Aly,cafe,
Tanta,فتح الله - إعمار مول,,supermarket
Tanta,Unknown,pharmacy,
Tanta,صيدلية الدكتور احمد حسن,pharmacy,
Tanta,ابو دشيش,restaurant,
Tanta,Lapip Lounge,cafe,
Tanta,نور الدين,,supermarket
Mansoura,Maxim,cafe,
Mansoura,البارون,restaurant,
Mansoura,دجاج كنتكى,restaurant,
Mansoura,ماكدونالدز,restaurant,
Mansoura,تكا,restaurant,
Mansoura,بيتزا هت,restaurant,
Mansoura,Metro Market,,supermarket
Mansoura,فرنش فرايز,restaurant,
Mansoura,Buffalo Burger,restaurant,
Mansoura,دومينوز بيتزا,restaurant,
Mansoura,Mobinil,,mobile_phone
Mansoura,Mo'men,restaurant,
Mansoura,Dafodil,,clothes
Mansoura,الخان,restaurant,
Mansoura,مؤمن,restaurant,
Mansoura,Vodafone,,mobile_phone
Mansoura,Gardino Cafe,cafe,
Mansoura,كابتشينو,restaurant,
Mansoura,Terranova,,clothes
Mansoura,Spectra Restaurant & Cafe,cafe,
Mansoura,Pinci,cafe,
Mansoura,Cat Mobie,,mobile_phone
Mansoura,Mobile Shop,,mobile_phone
Mansoura,Cavalo,,clothes
Mansoura,I2 Stores,,mobile_phone
Mansoura,صيدلية وادى النيل,pharmacy,
Mansoura,علاء الدين,restaurant,
Mansoura,Caj,,clothes
Mansoura,بيانو بيانو,,clothes
Mansoura,صيدلية سراج الدين,pharmacy,
Mansoura,رابحة,,clothes
Mansoura,صيدليات العزبى,pharmacy,
Mansoura,Viola,,clothes
Mansoura,Cacao,,clothes
Mansoura,Harby,,clothes
Mansoura,وكالة المنصورة,,supermarket
Mansoura,صيدلية الطرشوبى,pharmacy,
Mansoura,كشرى الحجاز,restaurant,
Mansoura,مطاعم البغل الكبرى,restaurant,
Mansoura,كوفى شوب الحرافيش,cafe,
Mansoura,قطونيل فيجا,,clothes
Mansoura,اولاد رجب,,supermarket
Mansoura,نجوم التوحيد والنور,,clothes
Mansoura,سنتر الملكة,,clothes
Mansoura,ديتكس,,clothes
Mansoura,الشرقاوى,,supermarket
Mansoura,ابو شريف,,clothes
Mansoura,حسن محمد حسن,,clothes
Mansoura,كلاسيك,,clothes
Mansoura,صيدلية د. حمدى,pharmacy,
Mansoura,الصالح ايوب,,supermarket
Mansoura,كشرى زيزو,restaurant,
Mansoura,فتح الله جملة ماركت,,supermarket
Mansoura,رمضان الكبابجى الوحيد,restaurant,
Mansoura,ولعتين,restaurant,
Mansoura,صيدلية البسطويسى,pharmacy,
Mansoura,مركز النصر الرياضى,,clothes
Mansoura,البيت التركى,,clothes
Mansoura,Aswaq Al-Mona,,supermarket
Mansoura,Etisalat,,mobile_phone
Mansoura,Wekalet El-Mansoura,,supermarket
Mansoura,Al Sabahy,restaurant,
Mansoura,Cook Door,restaurant,
Mansoura,KFC,fast_food,
Mansoura,Istacuza,restaurant,
Mansoura,Wekalet El Mansoura,,supermarket
Mansoura,Panadora,restaurant,
Mansoura,Cappuccino,restaurant,
Mansoura,Omar Afandy,,clothes
Mansoura,New Born,,clothes
Mansoura,Ravin,,clothes
Mansoura,Wagdy Galal,,clothes
Mansoura,Pyramisa,cafe,
Mansoura,Awadalla Market,,supermarket
Mansoura,Unknown,,supermarket
Mansoura,Unknown,pharmacy,
Mansoura,كافيه اندريا,cafe,
Mansoura,مقهى البتراوي,cafe,
Mansoura,Al Dewan,restaurant,
Mansoura,المحمدي,restaurant,
Mansoura,Elghaly,cafe,
Mansoura,Opaa,cafe,
Mansoura,Coffee Shop Company,cafe,
Mansoura,Al Nakhil,restaurant,
Mansoura,كاتشب,restaurant,
Mansoura,المالكي,restaurant,
Mansoura,أهل الشام,restaurant,
Mansoura,Lava,restaurant,
Mansoura,Chicks,restaurant,
Mansoura,Ivano,cafe,
Mansoura,Ahl Alsham,restaurant,
Mansoura,مطاعم البغل الكبري,restaurant,
Mansoura,Maqlet al-Estad,,supermarket
Mansoura,Carrefour Mart,,supermarket
Mansoura,Cofee Shop Company,cafe,
Mansoura,Pizza Hut,restaurant,
Mansoura,Caporia,restaurant,
Mansoura,Cheif Yousry,restaurant,
Mansoura,Tarshoby,pharmacy,
Mansoura,Al Mohamdy,restaurant,
Mansoura,Al Ta'lab,restaurant,
Mansoura,Metro,,supermarket
Mansoura,Sally,pharmacy,
Mansoura,Manhaten,cafe,
Mansoura,WE,,mobile_phone
Mansoura,Wekalet Abo Raya,,supermarket
Mansoura,Fattoma,restaurant,
Mansoura,زيزو,restaurant,
Mansoura,مول الشوا الجديد,,clothes
Mansoura,كافيه عاطف,cafe,
Mansoura,Khalifa,pharmacy,
Mansoura,Hello,cafe,
Mansoura,محمصات نور الصباح,,supermarket
Mansoura,القيطى العطار,,supermarket
Mansoura,اشرف حسنى جمله,,supermarket
Mansoura,هيثم محمود جمله,,supermarket
Mansoura,شركة تبارك جمله,,supermarket
Mansoura,ڤيڤيدو كافي,cafe,
Mansoura,RAVA,,clothes
Mansoura,فطاطري الدمياطي,restaurant,
Mansoura,فيكس كلاب-خدمة الجوال,,mobile_phone
Mansoura,سوبر ماركت الصعيدي,,supermarket
Mansoura,Kansas Fried Chicken,fast_food,
Mansoura,عم سمير فرع المنصورة,restaurant,
Mansoura,Unknown,cafe,
Zagazig,إيمان عبد الجواد,pharmacy,
Zagazig,فرع اورانج,,mobile_phone
Zagazig,كابتن هيما,cafe,
Zagazig,كشري التحرير,restaurant,
Zagazig,فرندا كافيه,cafe,
Zagazig,عربية ماكولات وفول,restaurant,
Zagazig,ساعة لقلبك,cafe,
Zagazig,بيترا اسكندرية,restaurant,
Zagazig,مطعم جمعه كريب,restaurant,
Zagazig,Unknown,restaurant,
Zagazig,ماكدونالدز,restaurant,
Zagazig,الأصيل,restaurant,
Zagazig,سوبرماركت ابو احمد,,supermarket
Zagazig,الإسراء,,supermarket
Zagazig,Gallery Cafe,cafe,
Zagazig,Dores,,clothes
Zagazig,أبوجمعه جمله | AboGomaa Gomla,,supermarket
Zagazig,بيتزا اسكندرية,restaurant,
Zagazig,ريماس لاند,restaurant,
Mahalla,صيدلية ميرفت زكريا كامل,pharmacy,
Mahalla,مطاعم البغل الكبرى,fast_food,
Mahalla,كافيتريا الزعيم,cafe,
Mahalla,كافيتريا ماسبيرو,cafe,
Mahalla,سوبر ماركت اولاد رجب,,supermarket
Mahalla,Unknown,,mobile_phone
Mahalla,Spazio,restaurant,
Mahalla,Pizza Hut Delivery,fast_food,
Mahalla,Unknown,,supermarket
Mahalla,روكيت للملابس الرجالي,,clothes
Mahalla,مطعم تظبيطه,restaurant,
Mahalla,سنتر سامح جمعه,,clothes
Mahalla,صيدلية علاء الطحان,pharmacy,
Damanhur,OL A SENORITA,,clothes
Damanhur,قهوة حجناية,cafe,
Kafr El Sheikh,جملة الهادى حماده عبد السلام,,supermarket
Kafr El Sheikh,واحة مندي ابو صالح,restaurant,
Kafr El Sheikh,اي ام اس نمبر وان,,clothes
Kafr El Sheikh,Circle,cafe,
Kafr El Sheikh,أبو رحيم,fast_food,
Kafr El Sheikh,قهوة كوبري محلة موسى,cafe,
Kafr El Sheikh,دكان جمال,,supermarket
Kafr El Sheikh,مبروك النمس,,supermarket
Kafr El Sheikh,ماضي,,clothes
Kafr El Sheikh,قهوة العثمانية,cafe,
Kafr El Sheikh,صيدلية الجمهورية,pharmacy,
Kafr El Sheikh,دكان عايدة,,supermarket
Kafr El Sheikh,Unknown,,supermarket
Shebin El Kom,نادى التجاريين,cafe,
Shebin El Kom,توينتي فور سيفن بلس,,clothes
Shebin El Kom,قهوة باب الخلق,cafe,
Shebin El Kom,مطعم مولانا,restaurant,
Shebin El Kom,الشيخ احمد,restaurant,
Alexandria,Carrefour Alexandria,,supermarket
Alexandria,Tekka Grill,restaurant,
Alexandria,سوق السمك,restaurant,
Alexandria,Unknown,cafe,
Alexandria,Carlos Café,cafe,
Alexandria,Unknown,restaurant,
Alexandria,Mocca,cafe,
Alexandria,ماكدونالدز,fast_food,
Alexandria,صيدليه كريمه المراسي,pharmacy,
Alexandria,الديب مول,,supermarket
Alexandria,فول وفلافل أبو عوض,fast_food,
Alexandria,صيدليه د. أمنيه عنتر,pharmacy,
Alexandria,أحمد محمد فول,restaurant,
Alexandria,Cafe FAROS,cafe,
Alexandria,El Kobissi King of Mango & Strawberry,cafe,
Alexandria,La'CASA,cafe,
Alexandria,Pizza Hut,restaurant,
Alexandria,Shahrzad Cafe,cafe,
Alexandria,ستوديو مصر,restaurant,
Alexandria,لبانيرو,restaurant,
Alexandria,Corcovado (Jungle),restaurant,
Alexandria,Combo Court,restaurant,
Alexandria,Jeeda’s,restaurant,
Alexandria,فطير العمدة,restaurant,
Alexandria,نور كافيه,cafe,
Alexandria,همبكة كافيه,cafe,
Alexandria,مطعم سورى,restaurant,
Alexandria,عصير مكة,fast_food,
Alexandria,Carrefour,,supermarket
Alexandria,Leila,cafe,
Alexandria,Ole,restaurant,
Alexandria,Roastery,restaurant,
Alexandria,Unknown,pharmacy,
Alexandria,Saint Geni,pharmacy,
Alexandria,Teatro Eskendria,cafe,
Alexandria,اتصالات,,mobile_phone
Alexandria,فتح الله جملة ماركت - جناكليس,,supermarket
Alexandria,جاد,fast_food,
Alexandria,زهران ماركت,,supermarket
Alexandria,اونباشي لار,restaurant,
Alexandria,ابو رياض السوري,restaurant,
Alexandria,بيتزا كوين,fast_food,
Alexandria,Gleem Court,fast_food,
Alexandria,مصراوي ماركت,,supermarket
Alexandria,قدورة,restaurant,
Alexandria,السمان,cafe,
Alexandria,قهوة فاروق,cafe,
Alexandria,لاتينو Latino,restaurant,
Alexandria,Abou Rabeea,fast_food,
Alexandria,دجاج كنتاكي,fast_food,
Alexandria,Costa,cafe,
Alexandria,007 Coffee Shop,cafe,
Alexandria,Unknown,fast_food,
Alexandria,بوكسر,,clothes
Alexandria,اليكس ماركت جرين,,supermarket
Alexandria,اليكس ماركت زين العابدين,,supermarket
Alexandria,Marciano Café & Restaurant,restaurant,
Alexandria,خليل,pharmacy,
Alexandria,كيخة كوفي,cafe,
Alexandria,كافتيريا ساعة صفا,cafe,
Alexandria,أسواق فتح الله للجملة,,supermarket
Alexandria,مقهى الفيشاوي,cafe,
Alexandria,اليكس ماركت - شركة الاسكندرية للمجمعات الاستهلاكية,,supermarket
Alexandria,اليكس ماركت,,supermarket
Alexandria,صيدلية بخيت,pharmacy,
Alexandria,صيدلية خليل,pharmacy,
Alexandria,صيدلية رشدي,pharmacy,
Alexandria,صيدلية نيو جوانيدس,pharmacy,
Alexandria,Vodafone,,mobile_phone
Alexandria,مطعم كسح,restaurant,
Alexandria,مقهى جمال معوض,cafe,
Alexandria,برشلونة,cafe,
Alexandria,Set El Hawalem,,clothes
Alexandria,مترو,,supermarket
Alexandria,صيدلية العزبي,pharmacy,
Alexandria,كافيه أسوان,cafe,
Alexandria,Délices,cafe,
Alexandria,Brazilian Coffee Stores,cafe,
Alexandria,Tawn Coffe Shop,restaurant,
Alexandria,Sea Gull Restaurant,restaurant,
Alexandria,صيدلية الفتح,pharmacy,
Alexandria,صيدلية هند الطيبي,pharmacy,
Alexandria,أليكس ماركت,,supermarket
Alexandria,صيدلية د. كمال محيي الدين,pharmacy,
Alexandria,DAIJA women's wear,,clothes
Alexandria,صيدلية د. يسري عبد المجيد,pharmacy,
Alexandria,صيدلية عبد الرحمن,pharmacy,
Alexandria,دايلي ماركت,,supermarket
Alexandria,صيدلية الهلال,pharmacy,
Alexandria,صيدليات د. أسامة الطيبي,pharmacy,
Alexandria,Eat & Treat,fast_food,
Alexandria,جار,restaurant,
Alexandria,صيدلية د. عبد الحكيم,pharmacy,
Alexandria,elfallah liver,fast_food,
Alexandria,Swiss milks,restaurant,
Alexandria,كلارك,,clothes
Alexandria,صيدلية سعد زغلول,pharmacy,
Alexandria,صيدلية أبو زيادة,pharmacy,
Alexandria,مشويات أبو كمال,fast_food,
Alexandria,ابو ناصر,restaurant,
Alexandria,بيت الجماة,,supermarket
Alexandria,Trianon,cafe,
Alexandria,Kadoura,restaurant,
Alexandria,سوق ليبيا,,supermarket
Alexandria,جاد,restaurant,
Alexandria,كاركي,fast_food,
Alexandria,Unknown,,supermarket
Alexandria,Hussein & Ali Hussein,restaurant,
Alexandria,أولاد خميس,,supermarket
Alexandria,د/ خالد عبد الحيم,pharmacy,
Alexandria,ألبان الأمانة,,supermarket
Alexandria,العم زغلول,restaurant,
Alexandria,Unknown,,clothes
Alexandria,قهوة خفاجي,cafe,
Alexandria,Calithea,restaurant,
Alexandria,Waves,restaurant,
Alexandria,اسماك شعبان,restaurant,
Alexandria,Cilantro,cafe,
Alexandria,Potasta,cafe,
Alexandria,سيدرا,restaurant,
Alexandria,Favore,,clothes
Alexandria,الحسين,cafe,
Alexandria,الحُسين,cafe,
Alexandria,جزارة محمد حامد,restaurant,
Alexandria,المدهش ابو الشمس,restaurant,
Alexandria,Gleem Bay,restaurant,
Alexandria,Old street,restaurant,
Alexandria,عظمة,restaurant,
Alexandria,صيدلية اميرة خاطر,pharmacy,
Alexandria,ابو على,,clothes
Alexandria,Misslele,,clothes
Alexandria,فلوش,,clothes
Alexandria,المعتز,,clothes
Alexandria,Mix Brands,,clothes
Alexandria,Amigo,,clothes
Alexandria,Bonbon,,clothes
Alexandria,Gamal,,clothes
Alexandria,The Truck,fast_food,
Alexandria,Alessandra Coffee,cafe,
Alexandria,د. هدى حامد,pharmacy,
Alexandria,Ecuador Coffee,cafe,
Alexandria,البطالسة,pharmacy,
Alexandria,صيدلية السلطان حسين,pharmacy,
Alexandria,Papa John's,fast_food,
Alexandria,رحمة كيمو,fast_food,
Alexandria,L’Apéro,restaurant,
Alexandria,اسطنبول,pharmacy,
Alexandria,المعلم,fast_food,
Alexandria,Unknown,,mobile_phone
Alexandria,Défilé,,clothes
Alexandria,Athineos,cafe,
Alexandria,Dream 2000,,mobile_phone
Alexandria,Totex,,clothes
Alexandria,Jeans Life,,clothes
Alexandria,My Queen,,clothes
Alexandria,Bazooka,fast_food,
Alexandria,Believe,,clothes
Alexandria,Mermaid,restaurant,
Alexandria,Mega,,clothes
Alexandria,Marilyn Monroe,,clothes
Alexandria,Chez Gaby au Ritrovo,restaurant,
Alexandria,Torino,,clothes
Alexandria,محروس,,clothes
Alexandria,Café de la Paix,cafe,
Alexandria,كافيتريا المدينة,cafe,
Alexandria,كبدة عم أمين,fast_food,
Alexandria,قصر الفيشاوى,cafe,
Alexandria,The Chocolate Factory,cafe,
Alexandria,محفوظ,pharmacy,
Alexandria,Cowboy,,clothes
Alexandria,Aswan,cafe,
Alexandria,Sterla,,clothes
Alexandria,Bonjour,,clothes
Alexandria,Name It,,clothes
Alexandria,Melody,,clothes
Alexandria,حباتر,cafe,
Alexandria,جملة ماركت,,supermarket
Alexandria,Triplo C,cafe,
Alexandria,Malibu,cafe,
Alexandria,Tie House,,clothes
Alexandria,Guitar,,clothes
Alexandria,Madora,,clothes
Alexandria,لا شيكا,,clothes
Alexandria,بيتزا ستيشن,fast_food,
Alexandria,سي فوليا,restaurant,
Alexandria,Jamboojo seafood - چامبوچو,restaurant,
Alexandria,أسماك آل بندق,restaurant,
Alexandria,Hossam tex,,clothes
Alexandria,Kindrz,,clothes
Alexandria,فيكا,cafe,
Alexandria,وهبه,fast_food,
Alexandria,Bizarre,,clothes
Alexandria,Orphanides Pharmacy,pharmacy,
Alexandria,Papyon,,clothes
Alexandria,Paolo Rossini,,clothes
Alexandria,سيف,pharmacy,
Alexandria,Gomla Market,,supermarket
Alexandria,Klexy,,clothes
Alexandria,Senior,,clothes
Alexandria,Rozaki,,clothes
Alexandria,Versatshi,,clothes
Alexandria,Solo,,clothes
Alexandria,Alex,,clothes
Alexandria,Bon & Chic,,clothes
Alexandria,بوجى,,clothes
Alexandria,ڤينوس,,clothes
Alexandria,Lyonnais 2000,,clothes
Alexandria,الصفوة,cafe,
Alexandria,عبايات حذقته,,clothes
Alexandria,الشيخ,,clothes
Alexandria,Anoosh,,clothes
Alexandria,Class,,clothes
Alexandria,طايع اخوان,,clothes
Alexandria,فريدة,,clothes
Alexandria,د/ غلاب,pharmacy,
Alexandria,مكتبة المغربى الاسلامية,,clothes
Alexandria,Versay,,clothes
Alexandria,ليل,cafe,
Alexandria,Elite,restaurant,
Alexandria,Carina,,clothes
Alexandria,فيروز,restaurant,
Alexandria,Sara,,clothes
Alexandria,الفيشاوى,cafe,
Alexandria,Rose,,clothes
Alexandria,Diab,cafe,
Alexandria,فوكاتشاريا,restaurant,
Alexandria,أندريه,cafe,
Alexandria,Cavalli,cafe,
Alexandria,Fruit Valley,fast_food,
Alexandria,Rich,,clothes
Alexandria,شيكوريل,cafe,
Alexandria,تاڤرنا,restaurant,
Alexandria,بوفيه مصر,cafe,
Alexandria,Trend,fast_food,
Alexandria,Mowafy,,clothes
Alexandria,Silversun,,clothes
Alexandria,برلنت,,clothes
Alexandria,Pick’N Go,cafe,
Alexandria,طارق خالد,,clothes
Alexandria,Ship Master,,clothes
Alexandria,مينرڤا,,clothes
Alexandria,بروفيل,,clothes
Alexandria,بهجة,restaurant,
Alexandria,Pink,,clothes
Alexandria,كشرى ع السخن,restaurant,
Alexandria,ابو طير,restaurant,
Alexandria,Solang,,clothes
Alexandria,Sudan,,clothes
Alexandria,عمر افندى,,clothes
Alexandria,El-Bob,,clothes
Alexandria,هاني,,supermarket
Alexandria,الأدهم,cafe,
Alexandria,سلطنة صفر,cafe,
Alexandria,بينو,cafe,
Alexandria,ستاربكس,cafe,
Alexandria,عصير ملوك,fast_food,
Alexandria,المدهش,fast_food,
Alexandria,Holmes,fast_food,
Alexandria,أدمو,,clothes
Alexandria,شاورميزر,fast_food,
Alexandria,ابن الباشا,fast_food,
Alexandria,طعم حكاية,fast_food,
Alexandria,Soula,cafe,
Alexandria,Queen,,clothes
Alexandria,سلسلة,cafe,
Alexandria,Oak Bay,restaurant,
Alexandria,فول محمد احمد,fast_food,
Alexandria,Conge,,clothes
Alexandria,مليون,,clothes
Alexandria,Magi,,clothes
Alexandria,ڤينيسيا,,clothes
Alexandria,مطعم بقالي,fast_food,
Alexandria,Etisalat,,mobile_phone
Alexandria,عمر الخيام,cafe,
Alexandria,الاوتوبيس,fast_food,
Alexandria,Hepsi,,clothes
Alexandria,عربية فول الجوازات,fast_food,
Alexandria,الشفعى,,clothes
Alexandria,د. خالد,pharmacy,
Alexandria,ابو الحسن,,supermarket
Alexandria,دكتور أحمد شلبى,pharmacy,
Alexandria,Spender,,clothes
Alexandria,Omar,,clothes
Alexandria,عروس البحر,restaurant,
Alexandria,Eagle,,clothes
Alexandria,Carpin,,clothes
Alexandria,il Punto,restaurant,
Alexandria,Jil,,clothes
Alexandria,ابو علاء,cafe,
Alexandria,Lava,cafe,
Alexandria,El Badry,,mobile_phone
Alexandria,Lorando,,clothes
Alexandria,Open,,clothes
Alexandria,Zizo,fast_food,
Alexandria,صيدلية بروناى,pharmacy,
Alexandria,سان سابا,pharmacy,
Alexandria,الحمبالي,cafe,
Alexandria,La Poire,cafe,
Alexandria,Napoli,cafe,
Alexandria,راقودة,restaurant,
Alexandria,مقهى روبوستا,cafe,
Alexandria,ألبان سويسرا,restaurant,
Alexandria,القهوة اليونانية,cafe,
Alexandria,Gomla,,supermarket
Alexandria,Circle K,cafe,
Alexandria,السوده,cafe,
Alexandria,Croissant D’Alexia,cafe,
Alexandria,Karamel Sham,restaurant,
Alexandria,Harrods,,clothes
Alexandria,داليا,,clothes
Alexandria,Rou,,clothes
Alexandria,زهو,restaurant,
Alexandria,كافية المدينة المنورة,cafe,
Alexandria,الملكى,cafe,
Alexandria,Chi Chi,cafe,
Alexandria,Afrodit,,clothes
Alexandria,Juice Corner,fast_food,
Alexandria,Premark.s,,clothes
Alexandria,عوف,,clothes
Alexandria,Shick,,clothes
Alexandria,Papadola,restaurant,
Alexandria,El Kabten,,clothes
Alexandria,الكابتن,,mobile_phone
Alexandria,Aldeeb Scarf,,clothes
Alexandria,Spice Girls,,clothes
Alexandria,Waddy,,clothes
Alexandria,X.Ford,,clothes
Alexandria,Alfagr,,clothes
Alexandria,Mavi,,clothes
Alexandria,Brand,,clothes
Alexandria,مصطفى سالم,,mobile_phone
Alexandria,أكسفورد,pharmacy,
Alexandria,شهد درويش ٢,,clothes
Alexandria,عالم الرياضه,,clothes
Alexandria,Amal Wool,,clothes
Alexandria,Alfy`s,cafe,
Alexandria,El Sabrouty,,clothes
Alexandria,رمضان,pharmacy,
Alexandria,بهيج,fast_food,
Alexandria,النصر,restaurant,
Alexandria,مصطفى جاد,fast_food,
Alexandria,العزبى,pharmacy,
Alexandria,Baggi,,clothes
Alexandria,ابو عوف,,clothes
Alexandria,البان وادى النيل,cafe,
Alexandria,رغيف كبده,restaurant,
Alexandria,Mody More,,clothes
Alexandria,أولاد ظاظا,cafe,
Alexandria,Tigter,,clothes
Alexandria,Sharm Fashion,,clothes
Alexandria,كشرى عزوز,fast_food,
Alexandria,كبدة الحرش,fast_food,
Alexandria,المدينة,pharmacy,
Alexandria,الراية الدمشقية,fast_food,
Alexandria,كير,pharmacy,
Alexandria,Kaffeine,cafe,
Alexandria,Momo,fast_food,
Alexandria,Patty & Puffy,fast_food,
Alexandria,فؤاد أحمد,pharmacy,
Alexandria,Cafe Express,cafe,
Alexandria,تبارك فارم,restaurant,
Alexandria,أولاد ضيف,cafe,
Alexandria,Shawerma Elreem,fast_food,
Alexandria,بورصة المحطة,cafe,
Alexandria,Tota,,mobile_phone
Alexandria,رياحين,cafe,
Alexandria,Town Team,,clothes
Alexandria,Danger Gucci,,clothes
Alexandria,Hegab,,clothes
Alexandria,Diamond,restaurant,
Alexandria,Günaydın,cafe,
Alexandria,Buffalo Burger,fast_food,
Alexandria,Fathalla Market,,supermarket
Alexandria,البركة,fast_food,
Alexandria,Pizza Roma,fast_food,
Alexandria,Family Market,,supermarket
Alexandria,Runway,restaurant,
Alexandria,5 Roosters,fast_food,
Alexandria,Murano,restaurant,
Alexandria,رويش,restaurant,
Alexandria,Embratora,,clothes
Alexandria,Baudrot,restaurant,
Alexandria,Sofianopoulo,cafe,
Alexandria,روما,cafe,
Alexandria,كشري أنا المعلم,fast_food,
Alexandria,أيوب,pharmacy,
Alexandria,Orange,,mobile_phone
Alexandria,صيدلية محطة مصر,pharmacy,
Alexandria,قدم الخير,cafe,
Alexandria,الحسن,cafe,
Alexandria,الجزار,fast_food,
Alexandria,City Cafe,cafe,
Alexandria,مشرف,pharmacy,
Alexandria,بطاطى,cafe,
Alexandria,Capito,,clothes
Alexandria,دانكن دونتس,fast_food,
Alexandria,كرسبي كريم,fast_food,
Alexandria,Pick & Cut,restaurant,
Alexandria,علي الرايق سوري,restaurant,
Alexandria,Shawarma,restaurant,
Alexandria,Falafel,restaurant,
Alexandria,٦ اكتوبر,cafe,
Alexandria,شارع الكشري,restaurant,
Alexandria,السلطان,cafe,
Alexandria,La Chica,,clothes
Alexandria,قرية ماليزيا,restaurant,
Alexandria,Zarda,cafe,
Alexandria,Pick'N Go,cafe,
Alexandria,مسمط الفاروق ( حمو فاروق ),restaurant,
Alexandria,The Alexandria Deli,cafe,
Alexandria,اشرف الماني مشويات,fast_food,
Alexandria,Pryzm,,clothes
Alexandria,مطعم الكني فروق,restaurant,
Alexandria,البان البوهي,,supermarket
Alexandria,قهوة الخولى,cafe,
Alexandria,بورتو المحروسه,cafe,
Alexandria,سى يو,restaurant,
Alexandria,صيدليه دكتور شريف رفيق,pharmacy,
Alexandria,Maria,restaurant,
Alexandria,Kansas Fried Chicken,fast_food,
Alexandria,النادى البحرى اليونانى,restaurant,
Alexandria,كرم الشام,fast_food,
Alexandria,Sarai Market,,supermarket
Alexandria,كازينو الشاطبى,cafe,
Alexandria,Faculty of fine arts Cafe,cafe,
Alexandria,AL kometra,cafe,
Alexandria,أبو الطيب,pharmacy,
Alexandria,Mugs Estate,cafe,
Alexandria,سكرية,cafe,
Alexandria,فلوكة,cafe,
Alexandria,Ob-La-Di,cafe,
Alexandria,Cilantro,restaurant,
Alexandria,ابو عميرة,,clothes
Alexandria,صيدليات دوائي,pharmacy,
Alexandria,Luna Park,restaurant,
Alexandria,أليكس ماركت - فرع تانيس,,supermarket
Alexandria,كازيون ماركت,,supermarket
Alexandria,صيدلية الدلتا,pharmacy,
Alexandria,صيدلية فارحي,pharmacy,
Alexandria,صيدلية د. أشرف نوار,pharmacy,
Alexandria,DEMO store,,clothes
Alexandria,ماكدونالدز,restaurant,
Alexandria,ليجند,,clothes
Alexandria,الحنين,fast_food,
Alexandria,Panorama,cafe,
Alexandria,نادي الجالية,restaurant,
Assiut,Unknown,fast_food,
Assiut,Pronto,restaurant,
Assiut,Unknown,pharmacy,
Assiut,Unknown,restaurant,
Assiut,كافتريا الجامعة,cafe,
Assiut,قهوة البحار مندي,cafe,
Assiut,محل كشري,restaurant,
Assiut,فطاطري الزعيم وحواوشي,restaurant,
Assiut,ساندوتش الأزهر,restaurant,
Assiut,سيلينترو,cafe,
Assiut,كشري ابو عمار,restaurant,
Assiut,صيدلية عبد المعتمد,pharmacy,
Assiut,الشبراوي,restaurant,
Assiut,سوناتا كافيه,cafe,
Assiut,خير زمان ماركت,,supermarket
Assiut,Ziad cafe & Monster Playstation,cafe,
Assiut,وافلز الحاره,cafe,
Assiut,كشري المدينة ٢,fast_food,
Assiut,Unknown,cafe,
Assiut,Unknown,,supermarket
Assiut,pizza,fast_food,
Assiut,Double Chickana,fast_food,
Assiut,professional clothing,,clothes
Assiut,Kayan,restaurant,
Assiut,Apache Chicken,fast_food,
Assiut,Unknown,,clothes
Assiut,LC WAIKIKI,,clothes
Assiut,Heart Attack,fast_food,
Assiut,Jory Fashion,,clothes
Assiut,Cottonil,,clothes
Assiut,Kamouna,fast_food,
Assiut,Grand Plaza,,clothes
Port Said,قهوه فوليه,cafe,
Port Said,Unknown,restaurant,
Port Said,Vodafone,,mobile_phone
Port Said,Gianola,cafe,
Port Said,Unknown,cafe,
Port Said,Beetle Vintage,cafe,
Port Said,فيش فيش,restaurant,
Port Said,اسماك محسن -فرع الزهور,restaurant,
Port Said,مطعم شروق,fast_food,
Port Said,Elite,cafe,
Port Said,صيدليه ابو الغيط,pharmacy,
Port Said,معصرة عجوة,fast_food,
Port Said,يتزا بينو,restaurant,
Port Said,Diva Store,,clothes
Port Said,Porto Pizza,restaurant,
Port Said,دوناتس كافيه,cafe,
Port Said,سلورة,fast_food,
Port Said,ابو مؤمن,restaurant,
Port Said,كافيه سينترال بيرك,restaurant,
Port Said,صيدليه الطحان,pharmacy,
Port Said,صيدلية أنصار السنة المحمدية,pharmacy,
Port Said,اكتف ابو علاء,,clothes
Port Said,محمد واحمد,pharmacy,
Port Said,القمر السورى,fast_food,
Port Said,Beg pizza,restaurant,
Port Said,elite,cafe,
